STD,Skew,kurtosis,PP,Sigma,Class
1.62,8.21,73.87,0.399964602,35.6,lead
1.6,8.12,73.8,0.287694145,27.89,lead
1.59,8.4,73.71,0.430765894,38.5,lead
1.69,7.9,73.71,0.236947719,31.49,lead
1.56,8.25,73.71,0.314864729,32.61,lead
1.61,7.89,73.12,0.449063637,41.37,lead
1.56,8.09,72.89,0.445044311,42.4,lead
1.68,7.68,72.83,0.39631473,38.84,lead
1.59,8.31,72.83,0.365392657,33.09,lead
1.61,8,72.81,0.344169314,36.74,lead
1.61,7.92,72.8,0.389593018,37.47,lead
1.61,8.08,72.78,0.350961281,35.44,lead
1.61,8.06,72.53,0.44805661,40.44,lead
1.62,8.28,72.46,0.279108692,26.37,lead
1.6,8.19,72.13,0.402114422,33.33,lead
1.61,7.94,72.01,0.387418863,38.87,lead
1.6,8.26,71.93,0.412826699,35.65,lead
1.59,8.06,71.73,0.316546797,33.78,lead
1.68,7.95,71.56,0.464849873,39.22,lead
1.85,7.73,71.41,0.439395768,38.5,lead
1.64,7.84,71.39,0.403292308,40.29,lead
1.66,8.04,71.35,0.256134166,29.34,lead
1.62,7.99,71.25,0.408763449,42.33,lead
1.62,8.13,71.21,0.437793098,39.69,lead
1.61,8.09,70.93,0.430098706,38.69,lead
1.66,7.94,70.84,0.382911966,34.62,lead
1.67,8.01,70.76,0.428717217,38.81,lead
1.77,7.31,70.7,0.141356818,27.1,lead
1.66,7.81,70.5,0.317824044,32.22,lead
1.65,7.95,70.34,0.419641542,37.18,lead
1.66,8.14,69.87,0.473737856,42.19,lead
1.72,7.93,69.79,0.178878987,25.61,lead
1.66,7.57,69.61,0.36888291,35.02,lead
1.63,7.96,69.51,0.436699118,42.04,lead
1.67,8.09,69.26,0.311457413,30.82,lead
1.64,8.12,68.62,0.448215959,39.93,lead
1.69,7.92,68.21,0.355282204,38.76,lead
1.67,7.75,68.15,0.292663648,28.2,lead
1.74,7.84,67.54,0.461163341,41.49,lead
1.8,7.5,67.51,0.444772473,40.11,lead
1.72,7.93,67.36,0.396192537,34.47,lead
1.78,7.61,67.3,0.331837907,38.73,lead
1.69,7.89,67.27,0.372345261,34.82,lead
1.76,8.06,67.17,0.410777302,36.38,lead
1.74,7.77,67.02,0.294118967,28.3,lead
1.69,7.9,66.74,0.406247288,37.03,lead
1.69,7.76,66.72,0.403990901,38.23,lead
1.75,7.65,66.64,0.201602732,28.8,lead
1.96,7.01,66.49,0.340097045,34.31,lead
1.79,7.64,66.41,0.27369885,33.6,lead
1.83,7.41,66.37,0.227238053,24.22,lead
1.8,7.64,65.49,0.264651009,31.57,lead
1.79,7.74,65.38,0.467846486,41.68,lead
1.76,7.7,64.78,0.303961448,29.73,lead
1.78,7.68,64.36,0.387114495,36.74,lead
1.8,7.63,64.22,0.428087113,40.64,lead
2.11,7.37,64.06,0.300013734,31.99,lead
1.55,7.09,64.02,0.400808528,44.45,lead
1.85,7.15,63.89,0.409499053,37.88,lead
1.8,7.93,63.88,0.389095702,38.38,lead
1.78,7.74,63.74,0.314966117,34.65,lead
1.8,7.85,63.65,0.42534756,46.05,lead
1.95,7.42,63.34,0.290624709,28.33,lead
1.85,7.64,63.2,0.253143288,33.51,lead
1.82,7.71,63.17,0.308846192,32.03,lead
1.84,7.47,63.17,0.411538268,43.62,lead
2.3,6.65,63.14,0.256484015,33.11,lead
1.96,7.35,63.06,0.130676663,24.73,lead
1.92,7.39,62.97,0.377030129,37.87,lead
1.85,7.48,62.77,0.351301803,31.04,lead
2.25,6.63,62.31,0.396137456,35.56,lead
1.91,7.32,62.01,0.460123992,43.11,lead
2.14,6.82,61.99,0.423079406,38.73,lead
1.96,7.25,61.46,0.372790052,35.69,lead
2.16,6.94,61.41,0.405907602,40.93,lead
2.03,7.11,61.23,0.386746689,40.08,lead
1.91,7.35,61.03,0.317256303,31.43,lead
1.86,7.62,60.97,0.385756415,31.55,lead
1.98,7.3,60.88,0.238569348,28.43,lead
1.87,7.77,60.87,0.388758713,40.78,lead
1.93,7.22,60.85,0.446232203,43.65,lead
1.88,7.6,60.79,0.453771214,41.99,lead
1.89,7.62,60.61,0.329232269,32.45,lead
2.12,6.53,60.55,0.23582733,29.73,lead
1.9,7.65,60.26,0.380084908,36.95,lead
1.98,7.16,60.08,0.387742061,35.6,lead
1.91,7.64,59.41,0.406572409,41.88,lead
1.99,7.11,58.94,0.283540503,30.11,lead
1.96,7.15,58.6,0.277637739,33.55,lead
1.9,7.6,58.18,0.418620249,36.7,lead
1.97,7.43,58,0.390224006,39.4,lead
2.01,7.08,57.97,0.336679493,32.8,lead
1.93,7.44,57.83,0.303303081,32.09,lead
2.26,6.59,57.81,0.388459145,42.69,lead
1.99,7.04,57.71,0.411783926,34.79,lead
1.94,7.32,57.68,0.42847896,40.96,lead
2.01,7.39,57.27,0.330009819,32.61,lead
2.02,7.06,57.09,0.316600321,33.16,lead
2.01,7.4,56.96,0.470017428,43.95,lead
2,7.42,56.91,0.427762983,38.32,lead
2.2,6.77,56.32,0.198618595,24.94,lead
2.1,6.95,55.87,0.440850016,40.77,lead
2.03,7.42,55.38,0.408934343,37.64,lead
2.12,7.01,55.06,0.333769634,32.86,lead
2.04,7.28,55.02,0.389396253,43.51,lead
2.07,7.24,54.86,0.420195816,39.35,lead
2.08,6.98,54.48,0.454782029,44.73,lead
2.09,7.16,54.4,0.400243071,37.32,lead
2.09,6.89,54.39,0.411900392,39.61,lead
2.11,6.73,54.18,0.305528749,29.2,lead
2.14,7.09,54.08,0.436835931,41.24,lead
2.1,7.27,53.74,0.452236859,46.95,lead
2.06,7.24,53.58,0.437334419,45.63,lead
2.38,6.62,53.51,0.39779418,40.69,lead
2.15,7.04,53.3,0.382221885,33.73,lead
2.17,6.89,53.25,0.439590293,37.97,lead
2.17,6.85,52.85,0.376361068,38.56,lead
2.62,6.34,52.83,0.229209074,29.26,lead
2.2,6.96,52.78,0.380519669,41.12,lead
2.16,7.07,52.33,0.218470391,32.56,lead
2.24,6.54,52.26,0.206464072,27.91,lead
2.45,6.51,51.93,0.157411566,25.71,lead
2.66,6.09,51.85,0.32746215,37.12,lead
2.16,6.75,51.69,0.452308648,43.18,lead
2.18,7.1,51.67,0.397343164,33.58,lead
2.14,7.06,51.38,0.35723241,31.78,lead
2.23,6.79,51.19,0.331175525,34.2,lead
2.33,6.5,51.18,0.242074896,29.97,lead
2.27,6.81,50.46,0.398849735,44.66,lead
2.43,6.67,50.34,0.333250277,35.12,lead
2.59,5.93,49.87,0.36168017,32.92,lead
2.38,6.32,49.73,0.376203351,43.88,lead
1.38,6.44,49.03,0.467366034,44.07,lead
2.3,6.73,48.81,0.444775491,35.72,lead
2.33,6.66,48.78,0.306735688,30.88,lead
2.44,6.62,48.62,0.391492133,38.7,lead
1.96,6.67,48.4,0.447652616,44.77,lead
2.3,6.59,48.37,0.30550596,32.03,lead
2.73,5.96,48.3,0.371437802,36.45,lead
2.36,6.67,48.1,0.297514471,37.6,lead
2.33,6.69,48.07,0.396842698,41.52,lead
2.41,6.49,47.96,0.274815594,27.7,lead
2.48,6.42,47.9,0.284337673,34.57,lead
